request_id,path_length,swath_count,swath_length_sum,main_field_area,transit_entry_leg_m,transit_turn_total_m,transit_turn_count,transit_inter_cell_m,transit_exit_leg_m,transit_other_m,working_crs,route_algorithm
f2b_000_ee_field_10,1329.3096533749797,21.0,883.203793188557,4418.5932550849975,0,446.1058601864116,20.0,0.0,0,0.0,EPSG:32635,snake
f2b_001_ee_field_146,2459.429327507449,27.0,2012.2048325818032,10052.381440434605,0,447.22449492573446,26.0,0.0,0,0.0,EPSG:32635,snake
f2b_002_ee_field_183,3907.1173601989117,32.0,3445.8607518887147,17119.08192781778,0,461.2566083102317,31.0,0.0,0,0.0,EPSG:32635,snake
f2b_003_ee_field_24,2651.522043501543,27.0,2178.115394020453,10855.59486782737,0,473.40664948113323,26.0,0.0,0,0.0,EPSG:32635,snake
f2b_004_ee_field_64,1614.3646580038485,25.0,1050.7488605994731,5280.242167524062,0,563.6157974043537,24.0,0.0,0,0.0,EPSG:32635,snake
f2b_005_nl_field_1,7582.160729751004,64.0,6506.460569222458,32524.416479653213,0,1075.7001605283554,63.0,0.0,0,0.0,EPSG:32631,snake
f2b_006_nl_field_13,2132.2244378889113,25.0,1692.3710654592142,8526.402898793342,0,439.85337242977846,24.0,0.0,0,0.0,EPSG:32631,snake
f2b_007_nl_field_166,6249.8006804365405,45.0,5477.618867858313,27372.174704813864,0,772.1818125781065,44.0,0.0,0,0.0,EPSG:32632,snake
f2b_008_nl_field_25,7133.4972192155265,45.0,6319.447070413269,31520.02793946117,0,814.0501488021812,44.0,0.0,0,0.0,EPSG:32631,snake
f2b_009_nl_field_44,4414.914557471629,37.0,3771.741156183183,18850.006379453465,0,643.173401288685,36.0,0.0,0,0.0,EPSG:32631,snake
f2b_010_nl_field_59131,7842.80940912425,24.0,6741.7706959033385,33649.024743703194,0,1101.0387132205806,23.0,0.0,0,0.0,EPSG:32631,snake
f2b_011_nl_field_77,2875.6942946245695,26.0,2244.4078168394044,11221.55880027241,0,631.2864777851235,25.0,0.0,0,0.0,EPSG:32631,snake
