request_id,path_length,swath_count,swath_length_sum,main_field_area,transit_entry_leg_m,transit_turn_total_m,transit_turn_count,transit_inter_cell_m,transit_exit_leg_m,transit_other_m,working_crs,route_algorithm
f2b_000_ee_field_130,5723.636422510136,62.0,3050.0786231849343,15244.263665957846,0,2673.557799325201,61.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_001_ee_field_148,15770.179538222304,58.0,10779.305922644213,53664.88189863099,0,4990.873615578092,57.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_002_ee_field_207,8764.630862088288,51.0,8154.237207192928,40741.40793612047,0,610.3936548953598,50.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_003_ee_field_35,6928.216940385686,68.0,3978.206025374122,19552.924231684803,0,2950.010915011564,67.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_004_ee_field_43,8453.897558992514,63.0,6194.085454734042,30905.57638136797,0,2259.812104258474,62.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_005_ee_field_46,19867.607571947246,89.0,13721.689296433702,68525.05794331689,0,6145.918275513546,88.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_006_ee_field_9,51631.30320210824,160.0,38506.68789288495,192467.36419021786,0,13124.615309223294,159.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_007_nl_field_111,4779.610424346592,48.0,4393.902965081856,21452.9108613124,0,385.70745926473637,47.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_008_nl_field_17,1516.7411297137041,37.0,1235.8310780161992,6120.009455204553,0,280.91005169750485,36.0,0.0,0,0.0,EPSG:32632,boustrophedon
f2b_009_nl_field_187374,8518.435009867651,78.0,7841.210907744244,39104.623085339714,0,677.2241021234087,77.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_010_nl_field_188,2680.8844717479137,34.0,1121.0620493683964,5522.376819994779,0,1559.822422379518,33.0,0.0,0,0.0,EPSG:32632,boustrophedon
f2b_011_nl_field_19,5812.323302261399,118.0,4814.276877973229,24036.113739829998,0,998.0464242881702,117.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_012_nl_field_716551,6865.562655819788,42.0,6359.622520843521,31797.615639638403,0,505.9401349762672,41.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_013_nl_field_90,2803.181417659786,67.0,2301.360706333071,11463.18705939591,0,501.8207113267148,66.0,0.0,0,0.0,EPSG:32632,boustrophedon
