request_id,path_length,swath_count,swath_length_sum,main_field_area
f2b_000_ee_field_10,1161.9178038661369,21.0,887.0605792924762,4418.7747216831
f2b_001_ee_field_146,2332.7228925387526,27.0,2015.71989317704,10052.770453681009
f2b_002_ee_field_183,3726.9972307677617,32.0,3452.5375981600955,17119.187283652485
f2b_003_ee_field_24,2466.318027194095,27.0,2181.551308524795,10855.7064806444
f2b_004_ee_field_64,1872.3412123402554,26.0,1056.5581599427387,5282.112199356126
f2b_005_nl_field_1,7197.9263857627575,64.0,6511.5063341110945,32530.145054456207
f2b_006_nl_field_13,1976.4864826645626,24.0,1724.2606259724125,8531.759828765043
f2b_007_nl_field_166,5973.932348269106,45.0,5477.816711730324,27372.47027677564
f2b_008_nl_field_25,6695.684777130682,44.0,6320.877237481996,31528.610584177884
f2b_009_nl_field_44,4174.797367172807,37.0,3774.9774948852137,18850.00637879905
f2b_010_nl_field_59131,7328.894143643908,25.0,6752.71694466006,33649.082813976616
f2b_011_nl_field_77,3078.892313022328,27.0,2252.72633234784,11225.656788319026
